Hôtel Juliana Paris,408,7th arr.,2.2 miles,8.6,Fabulous,NA,542
ibis budget Paris Porte De Montmartre,59,18th arr.,3.1 miles,6.4,Review score,NA,12693
Dreamyflat - Marais II,NA,3rd arr.,Metro access,7.4,Good,NA,25
Hotel Pierre Nicole,117,5th arr.,1.3 miles,8.5,Very good,NA,226
Nouvel hotel,106,12th arr.,2.2 miles,8.3,Very good,NA,266
Beausejour Ranelagh,118,16th arr.,3.7 miles,7.9,Good,NA,576
Les cles du 27 Paris,143,17th arr.,2.6 miles,9,Superb,NA,93
Hotel le Lapin Blanc,208,5th arr.,0.7 miles,9,Superb,9.5,576
Hotel Axel Opera,129,9th arr.,1.2 miles,7.6,Good,NA,584
Family Residence,NA,15th arr.,Metro access,8.2,Very good,NA,632
Hotel Plaza Elysées,279,8th arr.,2.5 miles,8.2,Very good,NA,823
Amadeus Hotel,105,12th arr.,1.8 miles,7.5,Good,NA,1418
Hostel Eiffel,100,15th arr.,3.1 miles,8,Very good,NA,1326
9Confidentiel,297,4th arr.,"1,300 feet",9.2,Superb,9.7,171
Hôtel de l'Exposition - République,110,10th arr.,1 miles,7.2,Good,NA,728
Hôtel Paris Louvre Opéra,149,1st arr.,1 miles,8.2,Very good,9.3,416
Chambres de la Grande Porte Bed & Breakfast,NA,10th arr.,Metro access,9.1,Superb,NA,131
Renaissance Paris Arc de Triomphe Hotel,293,17th arr.,2.9 miles,8.7,Fabulous,9.5,214
Hôtel de l'Avre,120,15th arr.,2.5 miles,8.5,Very good,NA,917
Villa Beaumarchais,197,3rd arr.,0.7 miles,8.4,Very good,NA,1247
Neptune,80,13th arr.,1.7 miles,7.7,Good,NA,962
Hotel Cluny Square,150,5th arr.,"2,800 feet",8.4,Very good,9.5,1632
Grand Hôtel de Clermont,98,18th arr.,2.1 miles,7.6,Good,NA,504
Bistrot Les Sans Culottes,NA,11th arr.,Metro access,7.1,Good,NA,649
Hôtel Exquis by Elegancia,110,11th arr.,1.4 miles,8.5,Very good,NA,558
Hôtel Parisianer,163,12th arr.,1.3 miles,9.1,Superb,NA,448
citizenM Paris Gare de Lyon,149,12th arr.,1.3 miles,8.8,Fabulous,NA,12645
Superbe Appartement,189,3rd arr.,0.8 miles,8,Very good,NA,25
Hotel Americain,116,3rd arr.,0.8 miles,8.1,Very good,NA,806
Maison Armance,315,1st arr.,1.4 miles,9.5,Exceptional,9.9,123
Renaissance Paris Arc de Triomphe Hotel,293,17th arr.,2.9 miles,8.7,Fabulous,9.5,214
Résidence Voûte by Patios du Marais,NA,12th arr.,Metro access,8.4,Very good,NA,40
Luxury Flat Marais Place des Vosges,476,4th arr.,0.8 miles,9.4,Superb,10,16
Hôtel de l'Avre,120,15th arr.,2.5 miles,8.5,Very good,NA,917
Le Narcisse Blanc,465,7th arr.,1.9 miles,9.4,Superb,9.5,360
Villa Beaumarchais,197,3rd arr.,0.7 miles,8.4,Very good,NA,1247
Hotel The Peninsula Paris,"1,167",16th arr.,2.8 miles,9.4,Superb,9.6,379
Hôtel du Rond-Point des Champs-Elysées - Esprit de France,261,8th arr.,2.1 miles,9.4,Superb,9.8,334
Hotel Zora,NA,2nd arr.,Metro access,8.9,Fabulous,9.7,531
Neptune,80,13th arr.,1.7 miles,7.7,Good,NA,962
MAISON LE BAC,139,2nd arr.,0.9 miles,9.4,Superb,9.6,13
Hotel Cluny Square,150,5th arr.,"2,800 feet",8.4,Very good,9.5,1632
Paris Square,211,8th arr.,2.7 miles,9.4,Superb,9.7,304
Grand Hôtel de Clermont,98,18th arr.,2.1 miles,7.6,Good,NA,504
Parc Monceau,200,8th arr.,2.3 miles,9.4,Superb,NA,20
Sully Hôtel,NA,4th arr.,Metro access,7.1,Good,NA,1304
Hôtel Exquis by Elegancia,110,11th arr.,1.4 miles,8.5,Very good,NA,558
Hôtel Parisianer,163,12th arr.,1.3 miles,9.1,Superb,NA,448
Splendide Royal Paris,770,8th arr.,1.9 miles,9.4,Superb,9.8,140
Maison Souquet,484,9th arr.,2.1 miles,9.4,Superb,9.3,201
citizenM Paris Gare de Lyon,149,12th arr.,1.3 miles,8.8,Fabulous,NA,12645
Superbe Appartement,189,3rd arr.,0.8 miles,8,Very good,NA,25
Montorgueil Suite,NA,2nd arr.,Metro access,8.9,Fabulous,9.7,16
1er Etage SoPi,248,9th arr.,1.8 miles,9.3,Superb,9.3,224
La Chambre du Marais,349,3rd arr.,0.7 miles,9.3,Superb,9.7,385
Hotel Americain,116,3rd arr.,0.8 miles,8.1,Very good,NA,806
Hôtel Saint-Marc,260,2nd arr.,1.2 miles,9.3,Superb,9.6,425
Le Petit Cosy Hôtel,111,12th arr.,2.5 miles,8.8,Fabulous,NA,1081
Hotel Bachaumont,280,2nd arr.,0.7 miles,8.7,Fabulous,9.3,274
Hotel William's Opera,116,9th arr.,1.4 miles,7.2,Good,NA,638
Apartment Opéra / Galeries Lafayette,NA,8th arr.,Metro access,7.7,Good,NA,72
Hotel Saint Honore,149,1st arr.,"2,600 feet",7.6,Good,NA,538
Hôtel Saint Marcel,132,13th arr.,1.3 miles,8.5,Very good,NA,758
Hotel Taylor,159,10th arr.,1 miles,8.5,Very good,NA,1779
Lord Byron,200,8th arr.,2.5 miles,8.9,Fabulous,9.6,174
Hôtel Avama Prony,143,17th arr.,3.1 miles,8.8,Fabulous,NA,161
Stella Etoile,145,17th arr.,3 miles,8.2,Very good,9.3,1470
Hôtel Particulier Montmartre,NA,18th arr.,Metro access,8,Very good,NA,120
Hotel Eugène en Ville,182,9th arr.,1.4 miles,8.6,Fabulous,NA,815
Floride-Etoile,139,16th arr.,3 miles,8.6,Fabulous,9.3,880
Hotel Opéra d'Antin,139,9th arr.,1.5 miles,8,Very good,9.3,548
TOUR EIFFEL JAVEL,166,15th arr.,3.1 miles,7.4,Good,NA,17
Le Glam's Hotel,109,14th arr.,2.5 miles,8.2,Very good,NA,1288
Hotel Jenner,106,13th arr.,1.6 miles,8.2,Very good,NA,635
Aparthotel Adagio Paris Nation,NA,12th arr.,Metro access,NA,Very good,NA,NA
Le Robinet d'Or,162,10th arr.,1.6 miles,9,Superb,NA,865
Hotel Bastille,110,11th arr.,0.9 miles,7.6,Good,NA,824
Hotel Maison FL,212,16th arr.,3.1 miles,8.9,Fabulous,9.4,724
Hôtel Diva Opera,121,9th arr.,1.2 miles,8.2,Very good,NA,1202
Le Belleval,190,8th arr.,1.9 miles,9,Superb,9.3,908
